title,price,room_count,sq_meters,apartment_floor,year_built,link
"3 kambarių butas Klaipėdoje, Debrecene, Debreceno g. ","
Kaina: 68 000 € (1 133 €/m²)

",3 kamb.,60.00 m²,4/5 a.,1972 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-debrecene-debreceno-g-7231162.html
"2 kambarių butas Klaipėdoje, Žvejybos uostas, Minijos g. ","
Kaina: 56 000 € (1 167 €/m²)

",2 kamb.,48.00 m²,5/5 a.,1974 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-zvejybos-uostas-minijos-g-7231159.html
"1 kambario butas Klaipėdoje, Bandužiuose, Kuncų g. ","
Kaina: 40 000 € (909 €/m²)

",1 kamb.,44.00 m²,5/5 a.,1989 m.,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-klaipedoje-banduziuose-kuncu-g-7231045.html
"2 kambarių butas Klaipėdoje, Žvejybos uostas, Naikupės g. ","
Kaina: 54 000 € (1 102 €/m²)

",2 kamb.,49.00 m²,6/9 a.,1979 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-zvejybos-uostas-naikupes-g-7231039.html
"2 kambarių butas Klaipėdoje, Alksnynėje, Taikos pr. ","
Kaina: 103 840 € (1 598 €/m²)

",2 kamb.,65.00 m²,7/22 a.,2009 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-alksnyneje-taikos-pr-7231030.html
"2 kambarių butas Klaipėdoje, Žvejybos uostas, Naikupės g. ","
Kaina: 57 000 € (1 118 €/m²)

",2 kamb.,51.00 m²,1/5 a.,1981 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-zvejybos-uostas-naikupes-g-7231024.html
"2 kambarių butas Klaipėdoje, Vingio, Šiaulių g. ","
Kaina: 43 500 € (870 €/m²)

",2 kamb.,50.00 m²,5/9 a.,1977 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-vingio-siauliu-g-7230955.html
"2 kambarių butas Klaipėdoje, Žvejybos uostas, Žalgirio g. ","
Kaina: 46 500 € (1 192 €/m²)

",2 kamb.,39.00 m²,4/4 a.,1960 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-zvejybos-uostas-zalgirio-g-7231012.html
"1 kambario butas Klaipėdoje, Senamiestyje, Bangų g. ","
Kaina: 89 999 € (2 432 €/m²)

",1 kamb.,37.00 m²,2/5 a.,2018 m.,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-klaipedoje-senamiestyje-bangu-g-7231018.html
"4 kambarių butas Klaipėdoje, Laukininkuose, Laukininkų g. ","
Kaina: 87 000 € (978 €/m²)

",4 kamb.,89.00 m²,3/5 a.,1989 m.,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-klaipedoje-laukininkuose-laukininku-g-7231015.html
"2 kambarių butas Klaipėdoje, Bandužiuose, Kuncų g. ","
Kaina: 66 500 € (1 209 €/m²)

",2 kamb.,55.00 m²,1/9 a.,1988 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-banduziuose-kuncu-g-7230937.html
"2 kambarių butas Klaipėdoje, Centre, Sausio 15-osios g. ","
Kaina: 50 000 € (1 316 €/m²)

",2 kamb.,38.00 m²,5/4 a.,1962 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-centre-sausio-15-osios-g-7230925.html
"2 kambarių butas Klaipėdoje, Centre, Sausio 15-osios g. ","
Kaina: 50 000 € (1 316 €/m²)

",2 kamb.,38.00 m²,5/5 a.,1962 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-centre-sausio-15-osios-g-7230919.html
"3 kambarių butas Klaipėdoje, Mažojo kaimelio, Senvagės g. ","
Kaina: 116 900 € (1 527 €/m²)

",3 kamb.,76.54 m²,2/4 a.,2009 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-mazojo-kaimelio-senvages-g-7230850.html
"4 kambarių butas Klaipėdoje, Miško, Vilhelmo Berbomo g. ","
Kaina: 86 000 € (1 194 €/m²)

",4 kamb.,72.00 m²,4/5 a.,1970 m.,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-klaipedoje-misko-vilhelmo-berbomo-g-7230781.html
"3 kambarių butas Klaipėdoje, Tauralaukyje, Tauralaukio g. ","
Kaina: 125 000 € (1 471 €/m²)

",3 kamb.,85.00 m²,4/5 a.,2013 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-tauralaukyje-tauralaukio-g-7230751.html
"3 kambarių butas Klaipėdoje, Tauralaukyje, Klaipėdos g. ","
Kaina: 50 000 € (994 €/m²)

",3 kamb.,50.29 m²,2/2 a.,1965 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-tauralaukyje-klaipedos-g-7230775.html
"3 kambarių butas Klaipėdoje, Žvejybos uostas, Naikupės g. ","
Kaina: 69 000 € (1 015 €/m²)

",3 kamb.,68.00 m²,2/3 a.,1952 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-zvejybos-uostas-naikupes-g-7230784.html
"2 kambarių butas Klaipėdoje, Baltijos, Baltijos pr. ","
Kaina: 47 500 € (1 060 €/m²)

",2 kamb.,44.82 m²,1/5 a.,1968 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-baltijos-baltijos-pr-7230715.html
